against_bug;against_dark;against_dragon;against_electric;against_fairy;against_fight;against_fire;against_flying;against_ghost;against_grass;against_ground;against_ice;against_normal;against_poison;against_psychic;against_rock;against_steel;against_water;attack;base_happiness;defense;experience_growth;height_m;hp;sp_attack;sp_defense;speed;weight_kg;is_legendary
0,2;0,333333333;0,5;0,125;0,142857143;0,125;0,466666667;0,466666667;0,5;0;0,25;0,466666667;1;0,5;0,5;0,2;0,428571429;0,066666667;0,244444444;0,5;0,195555556;0,442173077;0,034965035;0,173228346;0,298913043;0,214285714;0,228571429;0,007158648;0
0,2;0,333333333;0,5;0,125;0,142857143;0,125;0,466666667;0,466666667;0,5;0;0,25;0,466666667;1;0,5;0,5;0,2;0,428571429;0,066666667;0,316666667;0,5;0,257777778;0,442173077;0,055944056;0,232283465;0,380434783;0,285714286;0,314285714;0,013580377;0
0,2;0,333333333;0,5;0,125;0,142857143;0,125;0,466666667;0,466666667;0,5;0;0,25;0,466666667;1;0,5;0,5;0,2;0,428571429;0,066666667;0,527777778;0,5;0,524444444;0,442173077;0,125874126;0,311023622;0,608695652;0,476190476;0,428571429;0,105168965;0
0,066666667;0,333333333;0,5;0,25;0,142857143;0,25;0,066666667;0,2;0,5;0,066666667;0,5;0,066666667;1;0,5;0,25;0,466666667;0,142857143;0,466666667;0,261111111;0,5;0,168888889;0,442173077;0,027972028;0,149606299;0,27173913;0,142857143;0,342857143;0,008843036;0
0,066666667;0,333333333;0,5;0,25;0,142857143;0,25;0,066666667;0,2;0,5;0,066666667;0,5;0,066666667;1;0,5;0,25;0,466666667;0,142857143;0,466666667;0,327777778;0,5;0,235555556;0,442173077;0,062937063;0,224409449;0,380434783;0,214285714;0,428571429;0,019896831;0
0;0,333333333;0,5;0,5;0,142857143;0,125;0,066666667;0,2;0,5;0;0;0,2;1;0,5;0,25;1;0,142857143;0,466666667;0,55;0,5;0,324444444;0,442173077;0,104895105;0,303149606;0,809782609;0,452380952;0,542857143;0,095167912;0
0,2;0,333333333;0,5;0,5;0,428571429;0,25;0,066666667;0,2;0,5;0,466666667;0,25;0,066666667;1;0,5;0,25;0,2;0,142857143;0,066666667;0,238888889;0,5;0,266666667;0,442173077;0,020979021;0,169291339;0,217391304;0,20952381;0,217142857;0,009369407;0
0,2;0,333333333;0,5;0,5;0,428571429;0,25;0,066666667;0,2;0,5;0,466666667;0,25;0,066666667;1;0,5;0,25;0,2;0,142857143;0,066666667;0,322222222;0,5;0,333333333;0,442173077;0,055944056;0,228346457;0,298913043;0,285714286;0,302857143;0,02358143;0
0,2;0,333333333;0,5;0,5;0,428571429;0,25;0,066666667;0,2;0,5;0,466666667;0,25;0,066666667;1;0,5;0,25;0,2;0,142857143;0,066666667;0,544444444;0,5;0,511111111;0,442173077;0,097902098;0,307086614;0,679347826;0,452380952;0,417142857;0,0899042;0
0,2;0,333333333;0,5;0,25;0,428571429;0,125;0,466666667;0,466666667;0,5;0,066666667;0,125;0,2;1;0,5;0,25;0,466666667;0,428571429;0,2;0,138888889;0,5;0,133333333;0,384615385;0,006993007;0,173228346;0,054347826;0;0,228571429;0,002947679;0
0,2;0,333333333;0,5;0,25;0,428571429;0,125;0,466666667;0,466666667;0,5;0,066666667;0,125;0,2;1;0,5;0,25;0,466666667;0,428571429;0,2;0,083333333;0,5;0,222222222;0,384615385;0,034965035;0,192913386;0,081521739;0,023809524;0,142857143;0,010316875;0
0,066666667;0,333333333;0,5;0,5;0,428571429;0,0625;0,466666667;0,466666667;0,5;0;0;0,466666667;1;0,5;0,25;1;0,428571429;0,2;0,222222222;0,5;0,2;0,384615385;0,062937063;0,232283465;0,434782609;0,285714286;0,371428571;0,033582482;0
0,066666667;0,333333333;0,5;0,25;0,142857143;0,0625;0,466666667;0,466666667;0,5;0;0,25;0,2;1;0,25;0,5;0,466666667;0,428571429;0,2;0,166666667;0,5;0,111111111;0,384615385;0,006993007;0,153543307;0,054347826;0;0,257142857;0,003263501;0
0,066666667;0,333333333;0,5;0,25;0,142857143;0,0625;0,466666667;0,466666667;0,5;0;0,25;0,2;1;0,25;0,5;0,466666667;0,428571429;0,2;0,111111111;0,5;0,2;0,384615385;0,027972028;0,173228346;0,081521739;0,023809524;0,171428571;0,01042215;0
0,066666667;0,333333333;0,5;0,25;0,142857143;0,0625;0,466666667;0,466666667;0,5;0;0,25;0,2;1;0,25;0,5;0,466666667;0,428571429;0,2;0,805555556;0,5;0,155555556;0,384615385;0,055944056;0,251968504;0,027173913;0,285714286;0,8;0,030950626;0
0,066666667;0,333333333;0,5;0,5;0,428571429;0,25;0,2;0,2;0;0,066666667;0;0,466666667;1;0,5;0,25;0,466666667;0,428571429;0,2;0,222222222;0,5;0,155555556;0,442173077;0,006993007;0,153543307;0,135869565;0,071428571;0,291428571;0,001789662;0
0,066666667;0,333333333;0,5;0,5;0,428571429;0,25;0,2;0,2;0;0,066666667;0;0,466666667;1;0,5;0,25;0,466666667;0,428571429;0,2;0,305555556;0,5;0,222222222;0,442173077;0,062937063;0,244094488;0,217391304;0,142857143;0,377142857;0,031476998;0
0,066666667;0,333333333;0,5;0,5;0,428571429;0,25;0,2;0,2;0;0,066666667;0;0,466666667;1;0,5;0,25;0,466666667;0,428571429;0,2;0,416666667;0,5;0,333333333;0,442173077;0,090909091;0,322834646;0,679347826;0,285714286;0,662857143;0,04147805;0
0,2;0,333333333;0,5;0,25;0,428571429;0,5;0,2;0,2;0;0,2;0,25;0,2;1;0,5;0,25;0,2;0,428571429;0,2;0,283333333;0,5;0,133333333;0,384615385;-0,013986014;0,114173228;0,081521739;0,071428571;0,382857143;-0,000105274;0
0,2;0,333333333;0,5;0,25;0,428571429;0,5;0,2;0,2;0;0,2;0,25;0,2;1;0,5;0,25;0,2;0,428571429;0,2;0,366666667;0,5;0,288888889;0,384615385;-0,013986014;0,291338583;0,163043478;0,285714286;0,411428571;-0,000105274;0
0,066666667;0,333333333;0,5;0,5;0,428571429;0,25;0,2;0,2;0;0,066666667;0;0,466666667;1;0,5;0,25;0,466666667;0,428571429;0,2;0,305555556;0,5;0,111111111;0,384615385;0,006993007;0,153543307;0,114130435;0,052380952;0,371428571;0,002000211;0
0,066666667;0,333333333;0,5;0,5;0,428571429;0,25;0,2;0,2;0;0,066666667;0;0,466666667;1;0,5;0,25;0,466666667;0,428571429;0,2;0,472222222;0,5;0,266666667;0,384615385;0,06993007;0,251968504;0,277173913;0,195238095;0,542857143;0,039898937;0
